text,R
"ищем с мужем отых на море. Отель самый недорогой, можно 3*. Было бы неплохо если был бы бассейн. Путешествие планируем в конце сентября. Что подскажете?",0.0
"Привет. Хочу на море, но еду одна с ребенком. Отель не ниже 4, ну и важно чтобы было питание для ребенка, в номере кроватка, горшок, етская анимация и бассейн. Бюджет до 100. Трансфер с аэропотра нужен",4.6
"Ну раз Турцию наконец то открыли, решили выбраться с семьей. Едем с мужем и двумя детьми (17 и 10). Муж и дети не любят активный отдых, им нужен шведский стол, море, бассейн, мужу мииниьар. Я бы хотела на экскурсии. Отель все включено не ниже хорошей четверки",4.2
"Примерно на 7-9 ночей, море в шаговой доступности, номер с вайфаем, туалетом и кондиционером. Бюджет скромный.",4.0
"11 ночей. Нас трое взрослых. Бюджет 100 000. Пожелания по отелю:расположение удобное. Завтрак включён.",4.5
"Хотим с дочкой в Турцию, на конец июля(26-28) или август (7). Очень хорошая 3, хорошая 4, бюджетная 5. Главное- близко песчаный пляж и все включено. На 6-8 дней. Можно из Нска. Бюджет 100 +- 10000.",4.2
"Здравствуйте. Мы бы хотели подобрать тур у вас. Хотим море, пляжный тур, нас двое (без детей). Нужно экономично, минимальные затраты(до 60). Но чтобы обязательно было море, спасибо)))",4.0
"2 взр с 10.09 до 14.09 даты вылета,тунис, или кипр, 1, 2 линия. Завтрак включен. Бюджет 100+-20",4.5
"Здравствуйте. 3 взрослых. Лучше из Новосибирска.Не обязательно Турция. Нужно море теплое. Не обязательно все включено.",4.5
"Хотим на сафари. Погода чтобы была нормальная и отлель чистый. что посоветуете?",4.0
"ДОбрый вечер! Хотим в Испанию с мужем и дочкой 3 года. Совместить пляжный отдых и экскурсии. Слышала про салоу, но там наверное дорогие отели? Можно же ареновать машину или как то по другому потом доехать до барселоны. Еще хотели бы посетить порт авентуру. Подскажите по ценам?",4.0
"Хотим нормальную четверку, первая линия, чтобы был красивый пейзаж. двое взрослых По стоимости до 100. Что посоветуете?",4.0
"Здравствуйте, выбрали Грецию. 2 взрослых. Хотим у вас взять трансфер. Номер боьлшой, чистый. Что можете предложить нам?",4.4
"Здравствуйте. Это турагенство? Хочу дояери сделать подарок на окончание школы-поездку в Италию. Рассматриваю Рим, Милан. 7-9 ней, отель в центре, не ниже 4. Чтобы были только завтраки. Найдете варианты?",4.5
"Хотим отдых на 3 семьи На Кипре или в Турции. 6 взрослых и 2 ребенка. Нужно 3 отдельных номера, для детей детские зоны, анимация. Отель 5 звезд",4.4
"Здравствуйте. Ищем где пополярно, песочек и чтобы для ребенка все было:еда анимация горки. И чтобы поближе к пляжу, можно было дойти пешком. Два человека и 1 ребенок 6 лет.",4.6
"Доброго времени суток. Интересует Хайнань, слышал от друзей что им там понравилось семьей. Едем с женой, ищем отель в первой линии. Бюджет до 70.",4.0
"Здравствуйте мне нужен отель для двух молодых людей. Едем на море. Ищем все включено, дискотеки и чтобы рядом был город.",4.5
"Ищем отдых ОАЭ, Турция, Тунис, Египет. Период с 10 сентяря до 25 сентября. Количество ночей от 10. Бюджет до 180000. 2взр и 2 ребенка.",4.0
"Едем первый раз. Нужно чтобы было неорого: рядом пляж. Чтобы было хорошо и где погулять. Чтобы не в пустыне отель стоял. Нас двое взрослых. По цене ну средненько.",3.5
"Здравствуйте. Ищем ну что нибудь популярное такое и недорого. Ну вот вы куда бы сами поехали?",3.5
"№ раза уже отдыхали в отеле адамс бич на кипре. В этом году у нас двое взрослых и ребенок 17 лет. Адамс бич дорого стоит, вот что нибудь такое только подешевле?",4.0
"Нас трое. У нас есть 150 тысяч рублей. Куда можно поехать без тестов и вакцин в близжайшее время по  горящей путевке.",4.0
"Добрый вечер. Расскажите куда можно поехать семье с детьми. Какие направления открыты? 2 взр и 2 ребенка",4.0
"Нас три семьи. Первая 2 взрослых и двое детей. Вторая двое взрослых и 1 ребенок и третья семья 2 взрослых. Это мы взрослых детей хотим от себя отселить. Нам нужно на море на 2 недели и чтобы мы могли уместиться в 200 тысяч.",4.0
"Мы можем хоть когда, к датам особо не привязаны. Хотим по горящей путевке съездить. Вы можете нам позвонить-у нас чемоданы собраны и мы можем сразу лететь из барнаула. А сколько сейчас горящие путевки стоят?",4.0
"У нас семья: ребенок 7 лет и второй ребенок о года. У нас у мужа с 15 августа отпуск, мы можем на 10-9 дней полетель на море. Отель особо не важен, главное чтобы были завтраки и бассейн в отеле. ",4.5
"2 семейные пары. У нас с 10 отпуск дней на 7. Хотим море и чистый пляж. Чтобы были зонты и лежаки бесплатные и свой пляж у отеля. Что порекомендуете?",4.3
